text,start,stop
next into the tank is a new idea in the,00:00:01.439,00:00:03.830
outdoor furniture space,00:00:03.840,00:00:06.350
[Music],00:00:06.360,00:00:14.789
hi sharks my name is jake liu and i'm,00:00:14.799,00:00:16.950
carrie lynn we're the co-founders of,00:00:16.960,00:00:18.950
outer we're seeking 750 thousand dollars,00:00:18.960,00:00:21.590
in exchange for four percent equity,00:00:21.600,00:00:23.109
stake in our company,00:00:23.119,00:00:24.300
[Music],00:00:24.310,00:00:26.070
imagine for a moment it's early in the,00:00:26.080,00:00:27.990
morning,00:00:28.000,00:00:29.029
the house is still quiet,00:00:29.039,00:00:31.109
your coffee just finished brewing,00:00:31.119,00:00:33.510
it's a perfect spring day,00:00:33.520,00:00:35.350
the birds are chirping you look outside,00:00:35.360,00:00:37.350
at your outdoor sofa,00:00:37.360,00:00:39.590
coffee in hand you inhale deeply,00:00:39.600,00:00:41.900
[Music],00:00:41.910,00:00:43.030
oh,00:00:43.040,00:00:44.549
the cushions are wet and now so are my,00:00:44.559,00:00:46.470
pants we call that the soggy bottom,00:00:46.480,00:00:48.950
syndrome sharks that's just one of many,00:00:48.960,00:00:51.910
problems with outdoor furniture it falls,00:00:51.920,00:00:53.990
apart easily it's very uncomfortable or,00:00:54.000,00:00:56.470
they're stored in the garage somewhere,00:00:56.480,00:00:57.750
never to be used,00:00:57.760,00:00:59.189
at outer we've solved all of those,00:00:59.199,00:01:01.189
problems we've created the perfect,00:01:01.199,00:01:03.110
outdoor sofa that's as comfortable as,00:01:03.120,00:01:05.270
your bed and as durable as your camping,00:01:05.280,00:01:07.750
equipment all while using eco-friendly,00:01:07.760,00:01:10.070
materials,00:01:10.080,00:01:11.270
most importantly no more soggy bottoms,00:01:11.280,00:01:14.070
without patent-pending invention the,00:01:14.080,00:01:15.910
outer shell cover let me show you how it,00:01:15.920,00:01:17.429
works,00:01:17.439,00:01:18.469
in the evening all you have to do,00:01:18.479,00:01:20.710
is cover up and then pull the outer,00:01:20.720,00:01:23.109
shell over and the cushion is completely,00:01:23.119,00:01:25.190
protected from the elements,00:01:25.200,00:01:27.190
if you know there's a rainstorm coming,00:01:27.200,00:01:29.429
all you have to do is,00:01:29.439,00:01:31.190
take it and go with you so it's very,00:01:31.200,00:01:33.190
easy to carry and store cool,00:01:33.200,00:01:35.190
for the next morning there's going to be,00:01:35.200,00:01:36.789
a layer of morning dew on here but all,00:01:36.799,00:01:39.030
you have to do is,00:01:39.040,00:01:41.190
open it up flip it open,00:01:41.200,00:01:43.429
the perfect sofa ready for you to enjoy,00:01:43.439,00:01:46.950
so we've created the perfect outdoor,00:01:46.960,00:01:49.270
sofa but we realized that the shopping,00:01:49.280,00:01:51.270
experience wasn't great typically when,00:01:51.280,00:01:52.950
you see an outdoor sofa you see it,00:01:52.960,00:01:54.789
inside in a climate controlled,00:01:54.799,00:01:56.389
environment where it never has seen sun,00:01:56.399,00:01:59.030
rain or bird poop so we've actually,00:01:59.040,00:02:01.350
revolutionized the shopping experience,00:02:01.360,00:02:03.510
we've developed a proprietary,00:02:03.520,00:02:05.109
peer-to-peer showroom platform it's,00:02:05.119,00:02:07.030
where we convert our customers showrooms,00:02:07.040,00:02:09.270
into our showrooms and in doing so,00:02:09.280,00:02:11.830
customers can see touch and feel the,00:02:11.840,00:02:14.550
sofa before they decide to buy it's,00:02:14.560,00:02:16.550
something that we call the neighborhood,00:02:16.560,00:02:17.750
showroom it's the sharing economy,00:02:17.760,00:02:20.229
for retail so sharks who is ready to,00:02:20.239,00:02:22.390
join us to bring life outside,00:02:22.400,00:02:25.670
how much does the sofa cost so the sofa,00:02:25.680,00:02:28.150
you're looking at right now the,00:02:28.160,00:02:29.270
three-seater is 2500,00:02:29.280,00:02:31.589
okay,00:02:31.599,00:02:32.710
i don't think that's what does it cost,00:02:32.720,00:02:34.070
you land so so each share is 800 so,00:02:34.080,00:02:37.190
they're modular by the way i don't know,00:02:37.200,00:02:39.110
retail cost is eight eight twenty,00:02:39.120,00:02:40.710
dollars you can average it out and then,00:02:40.720,00:02:42.790
the cost of goods made is about two,00:02:42.800,00:02:44.150
twenty five or so two twenty five yeah,00:02:44.160,00:02:47.030
so i wanna make sure i understand this,00:02:47.040,00:02:48.790
is instead of having a showroom where,00:02:48.800,00:02:50.710
